id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,writing_score,reading_score
136,Shayak,Anne,shayak.anne18@outlook.com,Male,No,17,No,0.3,Civil Servant,89,86,55,22,13,12,67,Group B,Bachelorâ€™s degree,Free/reduced,Completed,19,30
451,Hrishita,Bal,hrishita.bal706@yahoo.com,Female,No,5,Yes,10.1,Artist,91,58,16,90,65,67,15,Group D,Associate degree,Standard,,88,27
165,Emir,Dash,emir.dash440@outlook.com,Male,Yes,3,Yes,4.3,Engineer,16,75,28,66,87,56,1,Group C,Some high school,Free/reduced,,1,89
29,Prerak,Swamy,prerak.swamy851@outlook.com,Female,No,5,No,9.0,Civil Servant,31,81,35,98,99,66,62,Group C,Associate degree,Standard,Completed,80,30
774,Anya,Bera,anya.bera342@yahoo.com,Male,Yes,10,No,2.0,Teacher,11,81,51,40,79,63,81,Group D,High school,Free/reduced,Completed,23,96
194,Sara,Madan,sara.madan966@outlook.com,Female,Yes,19,No,3.1,Engineer,42,26,24,52,89,70,92,Group C,Masterâ€™s degree,Free/reduced,Completed,93,69
389,Ira,Kapoor,ira.kapoor30@outlook.com,Female,Yes,7,Yes,17.1,Doctor,88,29,39,16,26,16,10,Group A,Some high school,Standard,Completed,54,88
853,Ayesha,Randhawa,ayesha.randhawa619@yahoo.com,Male,Yes,10,No,11.1,Teacher,57,27,78,52,12,1,87,Group A,Bachelorâ€™s degree,Free/reduced,,16,75
170,Anahi,Dash,anahi.dash15@yahoo.com,Male,Yes,1,Yes,19.0,Artist,64,36,80,91,64,98,53,Group D,Some high school,Standard,Completed,54,89
706,Veer,Dada,veer.dada840@outlook.com,Female,No,19,No,10.7,Scientist,62,85,94,75,3,28,77,Group B,Some college,Free/reduced,Completed,22,98
141,Mohanlal,Balan,mohanlal.balan234@yahoo.com,Female,No,13,Yes,13.6,Teacher,48,10,98,79,37,31,91,Group C,High school,Free/reduced,,9,10
174,Badal,Sachdev,badal.sachdev262@gmail.com,Male,Yes,7,Yes,0.9,Civil Servant,1,31,5,60,46,49,19,Group E,Masterâ€™s degree,Free/reduced,,22,4
7,Inaaya ,Bassi,inaaya .bassi395@yahoo.com,Male,No,16,No,19.4,Civil Servant,1,87,92,14,87,68,96,Group C,Some high school,Free/reduced,Completed,34,98
746,Shaan,Sunder,shaan.sunder852@outlook.com,Male,Yes,16,No,0.3,Artist,4,64,41,68,62,36,73,Group A,Masterâ€™s degree,Standard,,42,81
479,Trisha,Dora,trisha.dora671@gmail.com,Female,No,6,No,9.1,Scientist,47,84,21,67,79,55,91,Group B,High school,Standard,,8,15
74,Siya,Master,siya.master226@yahoo.com,Male,Yes,0,Yes,6.0,Doctor,98,17,97,32,37,41,15,Group D,High school,Standard,Completed,0,63
911,Ahana ,Bansal,ahana .bansal567@outlook.com,Female,No,3,Yes,15.7,Teacher,40,31,39,68,54,37,4,Group C,Masterâ€™s degree,Standard,Completed,13,7
814,Shayak,Suri,shayak.suri501@yahoo.com,Male,No,2,No,18.4,Engineer,85,40,65,14,2,16,97,Group A,High school,Free/reduced,,13,31
239,Himmat,Deo,himmat.deo457@gmail.com,Female,Yes,1,No,7.6,Civil Servant,14,49,32,69,92,36,3,Group C,Bachelorâ€™s degree,Free/reduced,Completed,66,98
146,Ranbir,Sami,ranbir.sami182@yahoo.com,Female,No,9,No,19.4,Civil Servant,31,41,48,35,100,50,46,Group B,Bachelorâ€™s degree,Standard,,14,72
793,Parinaaz,Shroff,parinaaz.shroff585@outlook.com,Male,Yes,1,No,4.1,Teacher,14,37,0,30,84,42,22,Group C,Associate degree,Standard,,49,29
235,Eva,Agrawal,eva.agrawal397@yahoo.com,Female,No,17,Yes,0.3,Scientist,25,79,99,56,28,81,90,Group C,Bachelorâ€™s degree,Standard,,90,82
221,Devansh,Agrawal,devansh.agrawal680@outlook.com,Male,Yes,10,No,17.9,Entrepreneur,34,93,11,47,43,23,14,Group D,Some college,Free/reduced,Completed,51,51
924,Farhan,Varkey,farhan.varkey153@gmail.com,Male,No,17,No,11.4,Engineer,61,24,23,13,93,39,92,Group C,Masterâ€™s degree,Free/reduced,,97,54
501,Sana,Rajagopalan,sana.rajagopalan69@gmail.com,Male,No,9,No,19.7,Engineer,91,68,72,21,32,12,76,Group D,Masterâ€™s degree,Standard,Completed,41,80
133,Ela,Kara,ela.kara47@outlook.com,Female,Yes,4,Yes,5.2,Entrepreneur,74,92,53,37,19,25,42,Group E,High school,Free/reduced,Completed,29,48
991,Miraya,Bakshi,miraya.bakshi393@outlook.com,Female,Yes,18,No,11.2,Entrepreneur,93,16,96,61,0,34,46,Group E,Bachelorâ€™s degree,Free/reduced,Completed,16,30
775,Miraan,Halder,miraan.halder346@yahoo.com,Female,No,5,Yes,6.5,Engineer,24,74,39,64,89,82,71,Group E,Bachelorâ€™s degree,Standard,Completed,37,96
186,Amani,Dhar,amani.dhar786@outlook.com,Female,Yes,5,Yes,5.0,Doctor,34,68,94,7,97,28,73,Group B,High school,Standard,Completed,49,45
42,Mehul,Verma,mehul.verma491@yahoo.com,Female,No,5,Yes,5.0,Civil Servant,61,14,8,51,62,9,73,Group A,High school,Standard,Completed,80,87
697,Nirvi,Konda,nirvi.konda766@outlook.com,Male,Yes,9,Yes,7.6,Scientist,22,35,17,72,40,52,28,Group B,High school,Free/reduced,Completed,24,34
109,Eva,Acharya,eva.acharya153@outlook.com,Female,Yes,10,No,3.3,Entrepreneur,94,38,75,43,64,65,68,Group E,Some college,Free/reduced,,62,90
589,Lakshit,Deo,lakshit.deo431@outlook.com,Male,Yes,19,No,4.3,Doctor,24,86,73,1,47,46,2,Group E,Some high school,Free/reduced,Completed,38,39
57,Prisha,Mallick,prisha.mallick683@gmail.com,Female,No,9,Yes,1.5,Scientist,75,38,81,54,88,32,58,Group D,Associate degree,Standard,,38,25
406,Rania,Bose,rania.bose219@outlook.com,Female,No,8,No,18.7,Teacher,80,7,66,25,46,59,18,Group C,Associate degree,Free/reduced,Completed,30,19
443,Lakshit,Karan,lakshit.karan252@yahoo.com,Male,No,9,Yes,1.7,Scientist,91,96,53,46,80,85,31,Group E,Associate degree,Standard,,19,96
758,Charvi,Manne,charvi.manne505@outlook.com,Female,Yes,4,Yes,10.3,Civil Servant,18,28,84,10,95,12,91,Group E,Some high school,Standard,,51,36
998,Tanya,Kunda,tanya.kunda642@yahoo.com,Male,Yes,1,No,14.8,Engineer,66,31,53,33,62,20,26,Group D,Some college,Standard,,91,70
25,Ehsaan,Batra,ehsaan.batra639@yahoo.com,Female,Yes,9,No,13.3,Scientist,51,89,37,70,16,24,53,Group B,Bachelorâ€™s degree,Free/reduced,Completed,85,48
468,Farhan,Sood,farhan.sood865@yahoo.com,Female,No,3,No,9.9,Entrepreneur,97,5,92,28,6,35,53,Group C,Some high school,Free/reduced,,68,57
540,Fateh,Sen,fateh.sen363@yahoo.com,Female,No,8,No,10.4,Teacher,29,39,81,11,39,52,98,Group A,Some high school,Standard,,40,11
532,Tushar,Khalsa,tushar.khalsa989@outlook.com,Male,Yes,5,Yes,0.1,Artist,40,15,5,16,73,26,83,Group E,Some college,Standard,,20,11
619,Yuvaan,Deshpande,yuvaan.deshpande464@yahoo.com,Female,No,17,No,13.3,Scientist,46,58,1,45,38,90,42,Group E,Associate degree,Standard,Completed,66,99
695,Samaira,Dixit,samaira.dixit455@gmail.com,Male,No,19,Yes,13.8,Artist,22,81,95,0,39,35,71,Group C,Associate degree,Standard,Completed,44,15
927,Saira,Verma,saira.verma224@yahoo.com,Male,Yes,1,No,0.2,Entrepreneur,52,15,35,82,75,57,26,Group B,Bachelorâ€™s degree,Standard,,11,43
339,Jiya,Dora,jiya.dora296@outlook.com,Male,Yes,4,Yes,1.4,Engineer,18,92,62,84,55,17,10,Group D,Associate degree,Free/reduced,,17,82
52,Myra,Chada,myra.chada887@gmail.com,Female,No,17,No,6.9,Entrepreneur,97,69,48,58,41,24,89,Group D,High school,Free/reduced,,30,73
508,Oorja,Gupta,oorja.gupta390@yahoo.com,Female,No,14,No,7.5,Entrepreneur,61,9,42,17,91,60,25,Group A,Some high school,Free/reduced,Completed,19,24
517,Raghav,Mall,raghav.mall892@outlook.com,Female,No,4,Yes,12.0,Civil Servant,67,35,89,96,31,47,57,Group D,Bachelorâ€™s degree,Free/reduced,,79,87
921,Dishani,Ramakrishnan,dishani.ramakrishnan424@gmail.com,Male,No,4,No,5.6,Artist,98,1,60,100,97,67,8,Group C,Some college,Standard,Completed,75,58
782,Jivika,Venkatesh,jivika.venkatesh552@outlook.com,Female,No,10,Yes,11.4,Entrepreneur,52,18,98,69,87,75,40,Group A,Masterâ€™s degree,Free/reduced,,0,78
265,Ishita,Borah,ishita.borah898@outlook.com,Female,No,14,No,11.3,Civil Servant,31,96,43,99,58,87,58,Group D,Some high school,Free/reduced,,75,3
818,Parinaaz,Sengupta,parinaaz.sengupta193@gmail.com,Male,No,7,Yes,7.9,Civil Servant,75,37,76,52,64,81,36,Group C,Some college,Standard,,27,54
711,Vaibhav,Hans,vaibhav.hans476@yahoo.com,Male,Yes,3,No,9.2,Engineer,76,87,47,32,54,43,86,Group A,Bachelorâ€™s degree,Free/reduced,,37,98
683,Nirvaan,Kari,nirvaan.kari203@yahoo.com,Male,Yes,1,No,9.9,Teacher,67,62,17,95,70,53,51,Group A,Associate degree,Free/reduced,Completed,1,37
833,Jhanvi,Gade,jhanvi.gade156@gmail.com,Male,Yes,7,Yes,15.1,Scientist,43,10,52,43,96,8,63,Group A,Bachelorâ€™s degree,Free/reduced,Completed,51,69
519,Kanav,Basak,kanav.basak675@outlook.com,Female,Yes,12,No,12.1,Teacher,18,66,73,100,91,64,4,Group A,Some college,Free/reduced,,16,63
448,Aaina,Date,aaina.date744@yahoo.com,Female,Yes,1,No,5.2,Entrepreneur,45,15,6,96,83,15,57,Group A,Associate degree,Free/reduced,,38,73
19,Aarush,Sibal,aarush.sibal289@outlook.com,Female,Yes,10,Yes,13.7,Civil Servant,33,64,62,32,6,11,81,Group A,Some high school,Free/reduced,,54,35
716,Kiara,Gandhi,kiara.gandhi6@yahoo.com,Female,Yes,0,No,13.1,Scientist,34,59,76,81,40,12,28,Group C,High school,Standard,Completed,28,2
484,Shray,Lata,shray.lata240@yahoo.com,Female,Yes,11,Yes,5.9,Entrepreneur,65,69,82,10,100,35,29,Group A,Some college,Standard,,12,15
569,Ayesha,Bansal,ayesha.bansal393@yahoo.com,Male,No,17,No,10.6,Civil Servant,29,49,10,74,91,53,67,Group B,Masterâ€™s degree,Standard,,73,99
434,Misha,Loke,misha.loke15@gmail.com,Male,Yes,0,Yes,17.2,Doctor,61,83,18,83,30,55,80,Group A,Some college,Free/reduced,,68,24
368,Bhamini,Iyengar,bhamini.iyengar436@outlook.com,Male,No,15,Yes,9.0,Doctor,10,71,96,1,88,93,52,Group C,Some college,Standard,,27,16
84,Aarna,Raju,aarna.raju612@yahoo.com,Male,Yes,5,Yes,16.6,Civil Servant,79,21,92,56,5,52,46,Group B,Associate degree,Free/reduced,Completed,86,92
62,Arhaan,Swaminathan,arhaan.swaminathan664@gmail.com,Male,No,9,No,2.3,Engineer,4,38,63,14,12,30,68,Group D,Some college,Free/reduced,,17,49
639,Myra,Talwar,myra.talwar585@yahoo.com,Male,No,11,Yes,16.0,Artist,54,80,48,9,72,10,16,Group C,Some high school,Standard,Completed,100,66
273,Nitya,Behl,nitya.behl708@gmail.com,Male,Yes,6,No,9.5,Teacher,12,57,95,42,33,46,46,Group C,Some college,Standard,Completed,71,71
286,Sara,Tak,sara.tak909@gmail.com,Female,Yes,3,Yes,12.7,Scientist,1,21,35,74,15,50,31,Group E,Masterâ€™s degree,Free/reduced,,1,5
361,Nirvaan,Khanna,nirvaan.khanna422@gmail.com,Female,Yes,19,Yes,11.9,Teacher,63,78,11,80,100,38,44,Group E,High school,Standard,,53,0
355,Shamik,Batra,shamik.batra991@yahoo.com,Male,Yes,9,No,17.9,Teacher,88,45,62,10,80,56,94,Group A,High school,Standard,,24,17
457,Krish,Tripathi,krish.tripathi349@yahoo.com,Male,Yes,13,Yes,17.2,Scientist,48,32,11,14,12,69,21,Group B,Some college,Standard,,36,18
279,Ishaan,Sura,ishaan.sura931@yahoo.com,Female,No,17,Yes,16.1,Artist,39,46,52,33,19,38,1,Group B,Some college,Free/reduced,Completed,0,66
13,Jhanvi,Chaudhary,jhanvi.chaudhary197@gmail.com,Male,No,4,No,3.7,Artist,31,9,56,70,12,6,83,Group A,High school,Standard,Completed,69,1
183,Vaibhav,Agarwal,vaibhav.agarwal95@yahoo.com,Male,Yes,1,No,1.0,Entrepreneur,55,92,50,63,3,48,87,Group C,High school,Standard,Completed,54,22
369,Nirvaan,Borah,nirvaan.borah492@outlook.com,Male,No,5,No,17.2,Teacher,74,3,58,59,98,17,90,Group C,Masterâ€™s degree,Free/reduced,,51,23
882,Raghav,Varughese,raghav.varughese383@gmail.com,Female,No,15,Yes,15.0,Doctor,55,99,81,96,18,57,75,Group B,Masterâ€™s degree,Free/reduced,Completed,97,95
616,Advika,Bhatia,advika.bhatia104@gmail.com,Female,No,15,Yes,3.4,Doctor,44,81,36,90,76,36,93,Group B,Bachelorâ€™s degree,Free/reduced,Completed,0,12
224,Devansh,Luthra,devansh.luthra678@outlook.com,Female,Yes,15,No,13.3,Teacher,49,19,71,78,6,1,82,Group D,Associate degree,Standard,,20,64
573,Zoya,Manda,zoya.manda801@outlook.com,Female,Yes,9,Yes,3.1,Teacher,4,77,96,22,64,20,1,Group D,Bachelorâ€™s degree,Free/reduced,Completed,50,54
971,Aniruddh,Chana,aniruddh.chana870@gmail.com,Male,Yes,2,Yes,0.0,Engineer,28,96,54,30,65,85,40,Group D,Bachelorâ€™s degree,Free/reduced,Completed,16,59
654,Yuvaan,Venkatesh,yuvaan.venkatesh671@gmail.com,Male,Yes,16,No,11.6,Engineer,70,91,29,7,91,33,32,Group C,Bachelorâ€™s degree,Standard,,2,86
546,Seher,Khurana,seher.khurana405@yahoo.com,Female,No,11,No,17.8,Entrepreneur,34,13,56,84,56,20,17,Group D,Some high school,Free/reduced,,45,95
583,Khushi,Kala,khushi.kala686@gmail.com,Female,No,14,No,12.8,Civil Servant,59,13,10,23,93,13,50,Group B,Associate degree,Free/reduced,,98,55
634,Tanya,Chahal,tanya.chahal672@gmail.com,Male,No,20,No,9.2,Civil Servant,100,17,35,100,97,84,38,Group D,Associate degree,Free/reduced,,50,8
177,Suhana,Vala,suhana.vala955@yahoo.com,Male,Yes,7,No,12.7,Teacher,1,42,0,97,84,48,94,Group A,High school,Standard,Completed,93,39
666,Reyansh,Kanda,reyansh.kanda613@gmail.com,Male,Yes,0,No,16.7,Engineer,47,26,36,73,54,93,56,Group D,Some college,Standard,,66,16
674,Yuvraj ,Batra,yuvraj .batra587@gmail.com,Male,Yes,20,Yes,19.0,Entrepreneur,78,42,16,77,69,2,92,Group A,Masterâ€™s degree,Free/reduced,Completed,2,48
586,Manjari,Shankar,manjari.shankar895@outlook.com,Female,No,13,Yes,13.4,Scientist,23,6,11,54,43,96,38,Group C,Associate degree,Free/reduced,Completed,21,25
874,Darshit,Thakkar,darshit.thakkar255@outlook.com,Female,No,7,No,12.0,Artist,3,87,72,31,82,89,8,Group A,Associate degree,Free/reduced,Completed,57,91
394,Navya,Devi,navya.devi395@yahoo.com,Male,No,19,No,13.7,Civil Servant,56,28,70,52,37,54,24,Group C,High school,Standard,Completed,8,60
164,Yasmin,Venkataraman,yasmin.venkataraman468@gmail.com,Female,No,6,Yes,17.6,Scientist,20,35,11,83,46,32,10,Group B,Some high school,Free/reduced,Completed,47,85
249,Ayesha,Dass,ayesha.dass565@yahoo.com,Male,No,20,Yes,7.3,Doctor,98,75,93,37,17,59,64,Group D,Some college,Standard,,65,11
635,Anaya,Lad,anaya.lad133@outlook.com,Female,No,18,No,11.7,Civil Servant,51,8,5,3,93,20,29,Group A,Associate degree,Free/reduced,Completed,12,85
886,Faiyaz,Sahota,faiyaz.sahota821@outlook.com,Male,Yes,14,No,8.7,Entrepreneur,4,85,99,70,93,95,72,Group B,Associate degree,Free/reduced,Completed,64,8
670,Yasmin,Dar,yasmin.dar572@outlook.com,Female,Yes,5,Yes,8.4,Scientist,78,48,80,74,30,81,44,Group B,Some college,Standard,Completed,61,67
376,Jayesh,Suri,jayesh.suri995@yahoo.com,Female,Yes,4,No,5.7,Doctor,79,20,91,68,36,23,22,Group B,High school,Standard,,90,88
413,Aaina,Hayer,aaina.hayer93@gmail.com,Female,No,6,Yes,18.3,Teacher,40,98,82,52,4,35,10,Group D,Masterâ€™s degree,Free/reduced,Completed,99,62
75,Aaryahi,Yadav,aaryahi.yadav513@outlook.com,Male,No,2,No,17.2,Engineer,55,2,58,9,40,73,54,Group D,Some college,Standard,Completed,73,51
114,Nakul,Balakrishnan,nakul.balakrishnan839@yahoo.com,Female,Yes,9,Yes,5.8,Teacher,10,44,56,83,32,95,61,Group E,Some college,Free/reduced,,27,25
599,Renee,Dhaliwal,renee.dhaliwal352@yahoo.com,Male,No,19,Yes,3.2,Teacher,32,15,24,77,3,68,2,Group B,High school,Free/reduced,,66,65
962,Ranbir,Mangat,ranbir.mangat783@yahoo.com,Female,Yes,20,No,3.5,Doctor,39,71,92,29,66,77,28,Group E,Some college,Standard,,41,85
391,Anika,Kar,anika.kar30@gmail.com,Female,Yes,8,No,7.0,Civil Servant,64,99,93,78,30,64,72,Group E,Some high school,Standard,,8,12
105,Mahika,Chaudhary,mahika.chaudhary52@yahoo.com,Male,No,19,No,5.0,Civil Servant,20,41,73,92,40,24,97,Group E,Associate degree,Free/reduced,Completed,20,63
115,Nakul,Vyas,nakul.vyas631@outlook.com,Male,Yes,7,Yes,13.4,Entrepreneur,28,81,29,6,12,52,42,Group A,Masterâ€™s degree,Standard,,91,60
418,Aarush,Goda,aarush.goda230@outlook.com,Male,Yes,6,No,5.8,Artist,48,16,55,26,76,27,36,Group B,Associate degree,Standard,Completed,93,86
526,Alia,Sule,alia.sule346@yahoo.com,Female,No,11,No,7.8,Entrepreneur,93,36,36,89,24,89,70,Group B,Some college,Standard,Completed,50,12
458,Akarsh,Rastogi,akarsh.rastogi976@yahoo.com,Female,Yes,1,No,3.6,Teacher,7,38,49,12,40,18,52,Group D,Some high school,Standard,,41,33
410,Hrishita,Kaul,hrishita.kaul244@outlook.com,Male,Yes,10,No,16.6,Teacher,49,95,95,30,54,27,18,Group B,Some college,Free/reduced,Completed,13,22
93,Priyansh,Sodhi,priyansh.sodhi772@outlook.com,Male,Yes,9,No,17.2,Engineer,83,42,34,15,47,55,51,Group D,Some college,Standard,Completed,95,56
931,Shayak,Thaker,shayak.thaker705@gmail.com,Male,Yes,15,No,0.2,Scientist,4,68,22,87,53,13,10,Group B,Some high school,Standard,Completed,97,20
90,Saira,Bhandari,saira.bhandari247@outlook.com,Female,No,5,Yes,10.5,Scientist,8,67,69,64,100,64,70,Group D,Some high school,Free/reduced,Completed,2,49
337,Siya,Zacharia,siya.zacharia92@outlook.com,Female,Yes,19,No,17.0,Civil Servant,37,7,47,70,6,0,90,Group A,Some college,Standard,,71,45
989,Baiju,Brahmbhatt,baiju.brahmbhatt859@yahoo.com,Male,Yes,12,No,1.8,Scientist,58,13,41,41,25,13,27,Group C,Bachelorâ€™s degree,Standard,Completed,93,22
922,Adah,Bawa,adah.bawa705@yahoo.com,Male,No,12,No,3.2,Doctor,56,17,2,99,30,82,62,Group E,Bachelorâ€™s degree,Standard,,49,28
934,Divit,Dugar,divit.dugar55@outlook.com,Male,Yes,17,Yes,16.0,Doctor,6,65,77,69,9,30,68,Group C,Bachelorâ€™s degree,Standard,Completed,70,10
606,Zaina,Chaudhary,zaina.chaudhary19@outlook.com,Female,Yes,14,No,2.6,Artist,4,68,67,5,43,82,2,Group A,Associate degree,Free/reduced,Completed,8,60
594,Aarav,Jayaraman,aarav.jayaraman570@yahoo.com,Male,Yes,19,No,16.6,Civil Servant,73,54,16,81,49,93,22,Group E,High school,Free/reduced,,51,40
612,Biju,Butala,biju.butala937@gmail.com,Male,Yes,11,No,19.5,Civil Servant,79,65,25,99,51,24,8,Group B,Masterâ€™s degree,Free/reduced,,35,54
95,Faiyaz,Din,faiyaz.din360@yahoo.com,Female,Yes,11,No,5.5,Civil Servant,7,9,85,81,51,46,65,Group B,Some high school,Standard,Completed,95,86
12,Lavanya,Arya,lavanya.arya827@yahoo.com,Female,Yes,3,Yes,13.2,Scientist,54,52,59,93,6,86,83,Group A,Associate degree,Free/reduced,,82,12
397,Mishti,Dar,mishti.dar257@yahoo.com,Male,No,7,Yes,0.6,Teacher,6,8,63,86,3,22,48,Group C,High school,Free/reduced,,77,86
534,Shray,Kala,shray.kala621@outlook.com,Female,Yes,3,Yes,4.7,Doctor,18,38,27,17,77,70,27,Group C,High school,Free/reduced,,75,45
44,Ranbir,Karan,ranbir.karan271@outlook.com,Male,Yes,5,Yes,3.5,Engineer,20,0,52,57,88,76,60,Group B,Some college,Free/reduced,Completed,37,4
43,Divyansh,Gupta,divyansh.gupta255@gmail.com,Male,No,19,Yes,15.5,Artist,57,56,38,75,54,39,72,Group E,Masterâ€™s degree,Standard,,79,7
330,Sahil,Sama,sahil.sama278@gmail.com,Female,No,18,Yes,3.4,Scientist,78,43,69,56,6,16,3,Group A,Some high school,Free/reduced,,60,86
168,Hiran,Kakar,hiran.kakar254@yahoo.com,Male,Yes,7,No,15.6,Teacher,3,84,38,26,66,77,65,Group D,Some college,Standard,,24,95
498,Zara,Luthra,zara.luthra400@outlook.com,Male,No,14,Yes,12.0,Engineer,98,48,98,25,31,47,30,Group A,Associate degree,Standard,,25,11
877,Madhav,Talwar,madhav.talwar420@yahoo.com,Male,Yes,16,Yes,4.6,Engineer,79,6,73,83,100,100,94,Group E,Associate degree,Free/reduced,,22,36
598,Mehul,Dhawan,mehul.dhawan815@gmail.com,Female,No,2,No,19.2,Engineer,26,87,53,48,40,81,57,Group C,Some high school,Standard,,20,23
757,Pihu,Dara,pihu.dara68@gmail.com,Female,No,14,No,17.1,Entrepreneur,56,17,77,81,0,39,60,Group B,Some college,Free/reduced,,60,32
101,Jayesh,Kulkarni,jayesh.kulkarni515@gmail.com,Female,Yes,16,Yes,6.1,Doctor,41,90,28,44,66,36,10,Group E,Some college,Standard,Completed,32,25
427,Adira,Kibe,adira.kibe762@gmail.com,Male,No,2,No,5.1,Doctor,98,51,11,2,26,20,49,Group C,Masterâ€™s degree,Standard,,99,51
179,Yuvraj ,Kibe,yuvraj .kibe446@outlook.com,Male,Yes,7,No,5.2,Scientist,50,89,94,41,40,57,34,Group B,High school,Standard,,29,9
445,Tara,Wable,tara.wable778@gmail.com,Female,Yes,18,Yes,19.6,Teacher,84,66,37,53,51,87,89,Group C,Some college,Standard,Completed,70,38
417,Vaibhav,Khare,vaibhav.khare204@yahoo.com,Female,Yes,1,No,12.4,Entrepreneur,33,19,11,47,21,72,15,Group E,Associate degree,Free/reduced,Completed,1,91
871,Shamik,Dara,shamik.dara253@yahoo.com,Male,Yes,7,No,12.2,Doctor,28,35,13,0,30,85,39,Group E,Associate degree,Free/reduced,,55,74
883,Hunar,Bhattacharyya,hunar.bhattacharyya146@gmail.com,Male,Yes,14,No,9.7,Artist,91,59,47,26,59,16,53,Group B,Masterâ€™s degree,Standard,Completed,6,31
681,Purab,Johal,purab.johal61@yahoo.com,Male,No,13,No,14.8,Civil Servant,19,4,41,88,72,76,52,Group B,Bachelorâ€™s degree,Free/reduced,Completed,0,34
178,Miraan,Chacko,miraan.chacko985@gmail.com,Female,Yes,8,Yes,0.9,Doctor,66,52,89,47,58,95,10,Group E,High school,Free/reduced,,74,12
396,Elakshi,Kibe,elakshi.kibe743@yahoo.com,Female,No,18,No,15.1,Civil Servant,82,51,45,60,85,77,51,Group C,High school,Free/reduced,,62,65
912,Dhanush,Dyal,dhanush.dyal157@yahoo.com,Female,No,13,Yes,19.5,Scientist,9,63,39,94,38,52,2,Group C,High school,Standard,,3,36
794,Saira,Sinha,saira.sinha614@gmail.com,Male,No,13,No,4.1,Teacher,94,34,52,88,1,53,52,Group B,Associate degree,Free/reduced,,48,35
961,Farhan,Singh,farhan.singh111@gmail.com,Male,Yes,9,Yes,15.5,Artist,51,72,71,7,52,79,89,Group D,High school,Free/reduced,,2,71
685,Veer,Chandran,veer.chandran11@yahoo.com,Female,No,5,Yes,9.4,Engineer,39,89,24,25,88,12,68,Group A,Some high school,Free/reduced,,58,42
384,Kimaya,Dutt,kimaya.dutt128@outlook.com,Female,No,13,Yes,9.8,Teacher,82,31,3,15,97,35,63,Group C,Bachelorâ€™s degree,Free/reduced,Completed,8,76
957,Indrans,Saha,indrans.saha768@gmail.com,Female,Yes,7,No,17.9,Engineer,67,57,99,24,43,38,30,Group E,Masterâ€™s degree,Standard,Completed,61,85
752,Pihu,Sule,pihu.sule124@yahoo.com,Male,No,10,No,3.8,Engineer,64,46,61,32,65,14,58,Group D,Associate degree,Free/reduced,,2,0
258,Renee,Kala,renee.kala604@outlook.com,Female,Yes,13,Yes,5.1,Civil Servant,29,10,36,76,69,52,32,Group A,Bachelorâ€™s degree,Standard,,24,0
539,Ojas,Dâ€™Alia,ojas.dâ€™alia704@outlook.com,Male,Yes,4,Yes,7.6,Teacher,34,6,92,81,47,90,99,Group E,Associate degree,Free/reduced,,31,86
336,Vaibhav,Sandhu,vaibhav.sandhu223@gmail.com,Male,Yes,4,Yes,9.1,Scientist,49,78,73,57,25,26,87,Group E,Masterâ€™s degree,Free/reduced,Completed,40,38
16,Aaina,Choudhary,aaina.choudhary123@outlook.com,Female,Yes,18,Yes,12.4,Artist,84,74,72,66,40,33,26,Group C,High school,Free/reduced,Completed,85,91
325,Darshit,Salvi,darshit.salvi569@outlook.com,Female,Yes,6,No,16.0,Civil Servant,45,8,19,35,3,43,48,Group B,Bachelorâ€™s degree,Free/reduced,,80,68
759,Hridaan,Dâ€™Alia,hridaan.dâ€™alia190@outlook.com,Female,No,10,No,13.4,Entrepreneur,66,73,34,97,16,41,54,Group B,Bachelorâ€™s degree,Standard,Completed,47,84
223,Jivika,Bedi,jivika.bedi495@yahoo.com,Male,Yes,13,No,0.9,Scientist,83,40,1,90,86,67,98,Group E,High school,Free/reduced,,95,73
180,Anya,Chhabra,anya.chhabra169@yahoo.com,Male,No,10,No,2.4,Scientist,98,26,57,39,59,33,15,Group C,Masterâ€™s degree,Standard,,11,20
984,Shlok,Brar,shlok.brar873@yahoo.com,Female,No,8,Yes,18.7,Artist,58,75,50,25,17,45,78,Group B,Masterâ€™s degree,Standard,Completed,37,23
23,Indrans,Chokshi,indrans.chokshi286@gmail.com,Female,No,11,No,13.6,Civil Servant,68,42,3,14,33,22,74,Group A,Bachelorâ€™s degree,Free/reduced,Completed,33,4
357,Pari,Dubey,pari.dubey948@gmail.com,Male,Yes,4,No,13.1,Artist,79,5,31,89,83,16,1,Group A,Some college,Standard,Completed,22,80
667,Rasha,Kibe,rasha.kibe911@yahoo.com,Female,No,8,Yes,17.3,Scientist,93,85,14,45,10,95,28,Group C,High school,Free/reduced,Completed,93,9
862,Neelofar,Gola,neelofar.gola614@outlook.com,Male,No,15,Yes,8.7,Engineer,53,8,71,10,90,99,18,Group A,Some college,Free/reduced,Completed,98,82
341,Aarav,Doshi,aarav.doshi582@yahoo.com,Male,No,3,No,19.2,Engineer,18,93,93,67,96,99,35,Group A,Bachelorâ€™s degree,Standard,,59,66
432,Ivan,Trivedi,ivan.trivedi322@outlook.com,Female,No,14,No,6.8,Civil Servant,23,27,23,10,95,77,33,Group D,Bachelorâ€™s degree,Standard,,86,13
